Turn 0: Φ_avg=0.744, S_total=94.480, Gini=0.000
Turn 1: Φ_avg=0.736, S_total=99.046, Gini=0.000
Turn 2: Φ_avg=0.729, S_total=103.745, Gini=0.000
Turn 3: Φ_avg=0.722, S_total=108.315, Gini=0.000
Turn 4: Φ_avg=0.715, S_total=113.107, Gini=0.000
Turn 5: Φ_avg=0.708, S_total=117.712, Gini=0.000
Turn 6: Φ_avg=0.701, S_total=122.369, Gini=0.000
Turn 7: Φ_avg=0.694, S_total=127.050, Gini=0.000
Turn 8: Φ_avg=0.687, S_total=131.502, Gini=0.000
Turn 9: Φ_avg=0.680, S_total=136.067, Gini=0.000
Turn 10: Φ_avg=0.673, S_total=140.917, Gini=0.000
Turn 11: Φ_avg=0.667, S_total=145.775, Gini=0.000
Turn 12: Φ_avg=0.660, S_total=150.246, Gini=0.000
Turn 13: Φ_avg=0.654, S_total=154.828, Gini=0.000
Turn 14: Φ_avg=0.647, S_total=159.442, Gini=0.000
Turn 15: Φ_avg=0.641, S_total=163.967, Gini=0.000
Turn 16: Φ_avg=0.635, S_total=168.503, Gini=0.000
Turn 17: Φ_avg=0.628, S_total=173.299, Gini=0.000
Turn 18: Φ_avg=0.622, S_total=177.899, Gini=0.000
Turn 19: Φ_avg=0.616, S_total=182.423, Gini=0.000
Turn 20: Φ_avg=0.610, S_total=186.895, Gini=0.000
Turn 21: Φ_avg=0.604, S_total=191.825, Gini=0.000
Turn 22: Φ_avg=0.598, S_total=196.610, Gini=0.000
Turn 23: Φ_avg=0.592, S_total=201.187, Gini=0.000
Turn 24: Φ_avg=0.586, S_total=205.863, Gini=0.000
Turn 25: Φ_avg=0.581, S_total=210.581, Gini=0.000
Turn 26: Φ_avg=0.575, S_total=214.863, Gini=0.000
Turn 27: Φ_avg=0.569, S_total=219.512, Gini=0.000
Turn 28: Φ_avg=0.564, S_total=224.018, Gini=0.000
Turn 29: Φ_avg=0.558, S_total=228.416, Gini=0.000
Turn 30: Φ_avg=0.553, S_total=233.067, Gini=0.000
Turn 31: Φ_avg=0.547, S_total=237.612, Gini=0.000
Turn 32: Φ_avg=0.542, S_total=242.254, Gini=0.000
Turn 33: Φ_avg=0.536, S_total=246.737, Gini=0.000
Turn 34: Φ_avg=0.531, S_total=251.452, Gini=0.000
Turn 35: Φ_avg=0.526, S_total=255.982, Gini=0.000
Turn 36: Φ_avg=0.521, S_total=260.564, Gini=0.000
Turn 37: Φ_avg=0.516, S_total=265.395, Gini=0.000
Turn 38: Φ_avg=0.511, S_total=269.907, Gini=0.000
Turn 39: Φ_avg=0.506, S_total=274.564, Gini=0.000
Turn 40: Φ_avg=0.501, S_total=279.110, Gini=0.000
Turn 41: Φ_avg=0.496, S_total=283.771, Gini=0.000
Turn 42: Φ_avg=0.491, S_total=288.332, Gini=0.000
Turn 43: Φ_avg=0.486, S_total=293.018, Gini=0.000
Turn 44: Φ_avg=0.481, S_total=297.351, Gini=0.000
Turn 45: Φ_avg=0.476, S_total=302.035, Gini=0.000
Turn 46: Φ_avg=0.472, S_total=306.562, Gini=0.000
Turn 47: Φ_avg=0.467, S_total=310.972, Gini=0.000
Turn 48: Φ_avg=0.463, S_total=315.408, Gini=0.000
Turn 49: Φ_avg=0.458, S_total=320.433, Gini=0.000
